Title,Home,Away,Court,Date,Time,Score,Winner,HomeScore,AwayScore
Infinite Hoop vs CommishCrew,Infinite Hoop,CommishCrew,redwest,07/30/2024,6:30,,,,
Another Brick in the Wall vs Hoopsters,Another Brick in the Wall,Hoopsters,43,07/30/2024,6:30,,,,
Layup Legends vs Satya's Directs,Layup Legends,Satya's Directs,92,07/30/2024,5:30,,,,
Another Brick in the Wall vs 2024 MSHoops Redeem Team,Another Brick in the Wall,2024 MSHoops Redeem Team,92,09/23/2024,4:30,,,,
Infinite Hoop vs Fellas of Finance,Infinite Hoop,Fellas of Finance,92,09/23/2024,6:30,,,,
Hoopsters vs The Splashware Engineers,Hoopsters,The Splashware Engineers,43,09/23/2024,4:30,,,,
Chain Blockers vs Layup Legends,Chain Blockers,Layup Legends,redwest,10/14/2024,4:30,,,,
2024 MSHoops Redeem Team vs CommishCrew,2024 MSHoops Redeem Team,CommishCrew,92,08/06/2024,6:30,,,,
Chain Blockers vs Infinite Hoop,Chain Blockers,Infinite Hoop,43,08/06/2024,5:30,,,,
Hoopsters vs Fellas of Finance,Hoopsters,Fellas of Finance,redwest,08/06/2024,5:30,,,,
The Splashware Engineers vs Satya's Directs,The Splashware Engineers,Satya's Directs,redwest,08/06/2024,6:30,,,,
CommishCrew vs Another Brick in the Wall,CommishCrew,Another Brick in the Wall,92,08/07/2024,4:30,,,,
Fellas of Finance vs Chain Blockers,Fellas of Finance,Chain Blockers,redwest,10/14/2024,6:30,,,,
Layup Legends vs Hoopsters,Layup Legends,Hoopsters,92,10/14/2024,5:30,,,,
2024 MSHoops Redeem Team vs Satya's Directs,2024 MSHoops Redeem Team,Satya's Directs,redwest,09/23/2024,4:30,,,,
Air-Gapped 1's vs EthicallySourcedBuckets,Air-Gapped 1's,EthicallySourcedBuckets,redwest,07/15/2024,5:30,,,,
Scrubs vs Jump,Scrubs,Jump,redwest,07/15/2024,6:30,,,,
Layup Legends vs Clippy - The Way We Got Shooters Everywhere,Layup Legends,Clippy - The Way We Got Shooters Everywhere,92,09/23/2024,6:30,,,,
Paul Allen's Ballers vs Geneva Hoops,Paul Allen's Ballers,Geneva Hoops,43,07/15/2024,4:30,,,,
GPT-8 vs DefenseWonChampionship,GPT-8,DefenseWonChampionship,redwest,07/16/2024,4:30,,,,
EthicallySourcedBuckets vs Geneva Hoops,EthicallySourcedBuckets,Geneva Hoops,43,07/16/2024,6:30,,,,
Layup Legends vs Victorius,Layup Legends,Victorius,92,07/17/2024,5:30,,,,
Clippy - The Way We Got Shooters Everywhere vs Fixers,Clippy - The Way We Got Shooters Everywhere,Fixers,43,07/17/2024,5:30,,,,
DefenseWonChampionship vs Jump,DefenseWonChampionship,Jump,redwest,07/17/2024,4:30,,,,
Paewox vs Scrubs,Paewox,Scrubs,redwest,07/17/2024,5:30,,,,
GPT-8 vs Like Clockwork,GPT-8,Like Clockwork,43,07/17/2024,6:30,,,,
Air-Gapped 1's vs Paul Allen's Ballers,Air-Gapped 1's,Paul Allen's Ballers,redwest,07/17/2024,6:30,,,,
Paewox vs Victorius,Paewox,Victorius,redwest,07/18/2024,5:30,,,,
Fixers vs Like Clockwork,Fixers,Like Clockwork,43,07/18/2024,4:30,,,,
Geneva Hoops vs Air-Gapped 1's,Geneva Hoops,Air-Gapped 1's,redwest,07/22/2024,4:30,,,,
DefenseWonChampionship vs Fixers,DefenseWonChampionship,Fixers,43,07/22/2024,6:30,,,,
Like Clockwork vs Scrubs,Like Clockwork,Scrubs,92,07/22/2024,6:30,,,,
Clippy - The Way We Got Shooters Everywhere vs GPT-8,Clippy - The Way We Got Shooters Everywhere,GPT-8,43,09/23/2024,4:30,,,,
Paul Allen's Ballers vs Layup Legends,Paul Allen's Ballers,Layup Legends,92,09/23/2024,4:30,,,,
EthicallySourcedBuckets vs Clippy - The Way We Got Shooters Everywhere,EthicallySourcedBuckets,Clippy - The Way We Got Shooters Everywhere,92,07/23/2024,5:30,,,,
Paul Allen's Ballers vs DefenseWonChampionship,Paul Allen's Ballers,DefenseWonChampionship,92,07/23/2024,6:30,,,,
Like Clockwork vs Victorius,Like Clockwork,Victorius,43,07/23/2024,5:30,,,,
Geneva Hoops vs Fixers,Geneva Hoops,Fixers,redwest,07/24/2024,5:30,,,,
Layup Legends vs Scrubs,Layup Legends,Scrubs,92,07/24/2024,6:30,,,,
Victorius vs Jump,Victorius,Jump,redwest,07/24/2024,6:30,,,,
GPT-8 vs Paewox,GPT-8,Paewox,redwest,07/24/2024,4:30,,,,
Air-Gapped 1's vs Paewox,Air-Gapped 1's,Paewox,redwest,07/25/2024,4:30,,,,
GPT-8 vs Scrubs,GPT-8,Scrubs,redwest,09/23/2024,4:30,,,,
Air-Gapped 1's vs Fixers,Air-Gapped 1's,Fixers,92,07/29/2024,6:30,,,,
EthicallySourcedBuckets vs Victorius,EthicallySourcedBuckets,Victorius,43,07/29/2024,6:30,,,,
Like Clockwork vs Paewox,Like Clockwork,Paewox,redwest,07/30/2024,4:30,,,,
Geneva Hoops vs Clippy - The Way We Got Shooters Everywhere,Geneva Hoops,Clippy - The Way We Got Shooters Everywhere,43,07/30/2024,5:30,,,,
Paul Allen's Ballers vs EthicallySourcedBuckets,Paul Allen's Ballers,EthicallySourcedBuckets,92,07/31/2024,5:30,,,,
Clippy - The Way We Got Shooters Everywhere vs Scrubs,Clippy - The Way We Got Shooters Everywhere,Scrubs,43,07/31/2024,6:30,,,,
GPT-8 vs Layup Legends,GPT-8,Layup Legends,redwest,07/31/2024,4:30,,,,
Geneva Hoops vs DefenseWonChampionship,Geneva Hoops,DefenseWonChampionship,92,07/31/2024,6:30,,,,
Jump vs Like Clockwork,Jump,Like Clockwork,43,07/31/2024,5:30,,,,
Layup Legends vs Air-Gapped 1's,Layup Legends,Air-Gapped 1's,92,08/01/2024,6:30,,,,
Victorius vs DefenseWonChampionship,Victorius,DefenseWonChampionship,redwest,08/01/2024,4:30,,,,
Paul Allen's Ballers vs Fixers,Paul Allen's Ballers,Fixers,redwest,08/01/2024,6:30,,,,
EthicallySourcedBuckets vs Layup Legends,EthicallySourcedBuckets,Layup Legends,redwest,10/14/2024,5:30,,,,
Like Clockwork vs Geneva Hoops,Like Clockwork,Geneva Hoops,43,08/05/2024,5:30,,,,
GPT-8 vs Jump,GPT-8,Jump,43,09/23/2024,6:30,,,,
Air-Gapped 1's vs Scrubs,Air-Gapped 1's,Scrubs,92,09/23/2024,5:30,,,,
Clippy - The Way We Got Shooters Everywhere vs Paewox,Clippy - The Way We Got Shooters Everywhere,Paewox,redwest,09/23/2024,6:30,,,,
EthicallySourcedBuckets vs Fixers,EthicallySourcedBuckets,Fixers,43,08/06/2024,6:30,,,,
DefenseWonChampionship vs Scrubs,DefenseWonChampionship,Scrubs,redwest,08/06/2024,4:30,,,,
Paul Allen's Ballers vs GPT-8,Paul Allen's Ballers,GPT-8,92,08/06/2024,5:30,,,,
Geneva Hoops vs Paewox,Geneva Hoops,Paewox,43,08/06/2024,4:30,,,,
Air-Gapped 1's vs DefenseWonChampionship,Air-Gapped 1's,DefenseWonChampionship,redwest,08/07/2024,6:30,,,,
Fixers vs Layup Legends,Fixers,Layup Legends,43,08/07/2024,6:30,,,,
Clippy - The Way We Got Shooters Everywhere vs Like Clockwork,Clippy - The Way We Got Shooters Everywhere,Like Clockwork,92,08/07/2024,6:30,,,,
Paul Allen's Ballers vs Jump,Paul Allen's Ballers,Jump,redwest,08/07/2024,4:30,,,,
Paewox vs EthicallySourcedBuckets,Paewox,EthicallySourcedBuckets,43,10/14/2024,4:30,,,,
High Performance Cabrones vs NorthWest Umbrerllas,High Performance Cabrones,NorthWest Umbrerllas,92,07/17/2024,6:30,,,,
ARM Flex vs Multi-Factor Threat,ARM Flex,Multi-Factor Threat,redwest,07/18/2024,6:30,,,,
Clippies vs Highly Privileged,Clippies,Highly Privileged,43,07/18/2024,5:30,,,,
The Dream Team vs Dolphins,The Dream Team,Dolphins,redwest,07/18/2024,4:30,,,,
Ballmer's C-team vs Three Pointless,Ballmer's C-team,Three Pointless,92,07/18/2024,6:30,,,,
Microballers vs NorthWest Umbrerllas,Microballers,NorthWest Umbrerllas,92,07/18/2024,5:30,,,,
High Performance Cabrones vs Not Elixer,High Performance Cabrones,Not Elixer,92,07/18/2024,4:30,,,,
Puerto Ricans @ MSFT vs Three Pointless,Puerto Ricans @ MSFT,Three Pointless,43,07/19/2024,6:30,,,,
Clippies vs Json Tatum Deuce Daddy,Clippies,Json Tatum Deuce Daddy,92,07/19/2024,5:30,,,,
Highly Privileged vs Multi-Factor Threat,Highly Privileged,Multi-Factor Threat,redwest,07/19/2024,4:30,,,,
Not Elixer vs The Dream Team,Not Elixer,The Dream Team,92,07/19/2024,6:30,,,,
Microballers vs Dolphins,Microballers,Dolphins,redwest,07/19/2024,6:30,,,,
Edgehogs vs ARM Flex,Edgehogs,ARM Flex,redwest,07/19/2024,5:30,,,,
Edgehogs vs Json Tatum Deuce Daddy,Edgehogs,Json Tatum Deuce Daddy,92,07/24/2024,5:30,,,,
Microballers vs Multi-Factor Threat,Microballers,Multi-Factor Threat,43,07/24/2024,5:30,,,,
Three Pointless vs Dolphins,Three Pointless,Dolphins,43,07/24/2024,4:30,,,,
Dolphins vs Highly Privileged,Dolphins,Highly Privileged,redwest,07/25/2024,5:30,,,,
NorthWest Umbrerllas vs Json Tatum Deuce Daddy,NorthWest Umbrerllas,Json Tatum Deuce Daddy,92,07/25/2024,5:30,,,,
Not Elixer vs Three Pointless,Not Elixer,Three Pointless,43,07/25/2024,6:30,,,,
Microballers vs Ballmer's C-team,Microballers,Ballmer's C-team,43,07/25/2024,4:30,,,,
The Dream Team vs High Performance Cabrones,The Dream Team,High Performance Cabrones,92,07/25/2024,4:30,,,,
ARM Flex vs Clippies,ARM Flex,Clippies,43,07/25/2024,5:30,,,,
Multi-Factor Threat vs Edgehogs,Multi-Factor Threat,Edgehogs,92,07/25/2024,6:30,,,,
Clippies vs Not Elixer,Clippies,Not Elixer,43,07/26/2024,5:30,,,,
Highly Privileged vs Ballmer's C-team,Highly Privileged,Ballmer's C-team,redwest,07/26/2024,6:30,,,,
ARM Flex vs The Dream Team,ARM Flex,The Dream Team,redwest,07/26/2024,4:30,,,,
NorthWest Umbrerllas vs Puerto Ricans @ MSFT,NorthWest Umbrerllas,Puerto Ricans @ MSFT,92,07/26/2024,6:30,,,,
Not Elixer vs Highly Privileged,Not Elixer,Highly Privileged,redwest,07/31/2024,5:30,,,,
Microballers vs Three Pointless,Microballers,Three Pointless,redwest,07/31/2024,6:30,,,,
Puerto Ricans @ MSFT vs Edgehogs,Puerto Ricans @ MSFT,Edgehogs,92,08/01/2024,4:30,,,,
Not Elixer vs ARM Flex,Not Elixer,ARM Flex,redwest,08/01/2024,5:30,,,,
Three Pointless vs High Performance Cabrones,Three Pointless,High Performance Cabrones,43,08/01/2024,5:30,,,,
Ballmer's C-team vs Json Tatum Deuce Daddy,Ballmer's C-team,Json Tatum Deuce Daddy,92,08/01/2024,5:30,,,,
The Dream Team vs Microballers,The Dream Team,Microballers,43,08/01/2024,4:30,,,,
Clippies vs Multi-Factor Threat,Clippies,Multi-Factor Threat,43,08/01/2024,6:30,,,,
NorthWest Umbrerllas vs The Dream Team,NorthWest Umbrerllas,The Dream Team,43,08/02/2024,4:30,,,,
Multi-Factor Threat vs Ballmer's C-team,Multi-Factor Threat,Ballmer's C-team,redwest,08/02/2024,5:30,,,,
Clippies vs Edgehogs,Clippies,Edgehogs,43,08/02/2024,6:30,,,,
Json Tatum Deuce Daddy vs ARM Flex,Json Tatum Deuce Daddy,ARM Flex,redwest,08/02/2024,4:30,,,,
Dolphins vs High Performance Cabrones,Dolphins,High Performance Cabrones,92,08/02/2024,6:30,,,,
Puerto Ricans @ MSFT vs Highly Privileged,Puerto Ricans @ MSFT,Highly Privileged,redwest,08/02/2024,6:30,,,,
Three Pointless vs Json Tatum Deuce Daddy,Three Pointless,Json Tatum Deuce Daddy,92,08/06/2024,4:30,,,,
Ballmer's C-team vs Dolphins,Ballmer's C-team,Dolphins,43,08/07/2024,5:30,,,,
Json Tatum Deuce Daddy vs The Dream Team,Json Tatum Deuce Daddy,The Dream Team,redwest,08/07/2024,5:30,,,,
Edgehogs vs Three Pointless,Edgehogs,Three Pointless,92,08/07/2024,5:30,,,,
ARM Flex vs High Performance Cabrones,ARM Flex,High Performance Cabrones,43,08/07/2024,4:30,,,,
Puerto Ricans @ MSFT vs Dolphins,Puerto Ricans @ MSFT,Dolphins,43,08/08/2024,6:30,,,,
Not Elixer vs NorthWest Umbrerllas,Not Elixer,NorthWest Umbrerllas,92,08/08/2024,5:30,,,,
Ballmer's C-team vs High Performance Cabrones,Ballmer's C-team,High Performance Cabrones,43,08/08/2024,5:30,,,,
Microballers vs Edgehogs,Microballers,Edgehogs,43,08/08/2024,4:30,,,,
Clippies vs The Dream Team,Clippies,The Dream Team,92,08/08/2024,4:30,,,,
Clippies vs NorthWest Umbrerllas,Clippies,NorthWest Umbrerllas,redwest,08/09/2024,6:30,,,,
Microballers vs Puerto Ricans @ MSFT,Microballers,Puerto Ricans @ MSFT,92,08/09/2024,5:30,,,,
Puerto Ricans @ MSFT vs Multi-Factor Threat,Puerto Ricans @ MSFT,Multi-Factor Threat,92,08/12/2024,6:30,,,,
ARM Flex vs Dolphins,ARM Flex,Dolphins,43,08/12/2024,5:30,,,,
Highly Privileged vs Edgehogs,Highly Privileged,Edgehogs,92,08/12/2024,4:30,,,,
Json Tatum Deuce Daddy vs High Performance Cabrones,Json Tatum Deuce Daddy,High Performance Cabrones,redwest,08/13/2024,5:30,,,,
NorthWest Umbrerllas vs Highly Privileged,NorthWest Umbrerllas,Highly Privileged,92,08/13/2024,6:30,,,,
Not Elixer vs Ballmer's C-team,Not Elixer,Ballmer's C-team,redwest,08/13/2024,4:30,,,,
The Retaliators vs Clipp'yers,The Retaliators,Clipp'yers,Redwest,07/09/2024,4:30,,The Retaliators,42.0,0.0
Subject to change vs The Windows Warriors,Subject to change,The Windows Warriors,92,07/09/2024,4:30,,Subject to change,42.0,24.0
MSFT intern team vs MSFT Hooperz,MSFT intern team,MSFT Hooperz,43,07/09/2024,4:30,MSFT Hooperz Forfeit,MSFT intern team,0.0,0.0
Seattle Sonics vs The PowerPoint Guards,Seattle Sonics,The PowerPoint Guards,Redwest,07/09/2024,5:30,,Seattle Sonics,42.0,30.0
Bilal Coulibaly Fans vs. DART Team,Bilal Coulibaly Fans,DART Team,43,07/10/2024,5:30,,,0.0,0.0
breakfast table vs. WeStayBallin,breakfast table,WeStayBallin,92,07/10/2024,4:30,,,0.0,0.0
The Retaliators vs Subject to change,The Retaliators,Subject to change,92,07/12/2024,4:30,,,0.0,0.0
Clipp'yers vs MSFT intern team,Clipp'yers,MSFT intern team,43,07/12/2024,4:30,,,0.0,0.0
The Windows Warriors vs Seattle Sonics,The Windows Warriors,Seattle Sonics,Redwest,07/12/2024,4:30,,,0.0,0.0
MSFT Hooperz vs The PowerPoint Guards,MSFT Hooperz,The PowerPoint Guards,92,07/12/2024,5:30,,,0.0,0.0
The Retaliators vs The Windows Warriors,The Retaliators,The Windows Warriors,43,07/16/2024,4:30,,,0.0,0.0
Clipp'yers vs MSFT Hooperz,Clipp'yers,MSFT Hooperz,92,07/16/2024,4:30,,,0.0,0.0
Subject to change vs Seattle Sonics,Subject to change,Seattle Sonics,Redwest,07/16/2024,4:30,,,0.0,0.0
MSFT intern team vs The PowerPoint Guards,MSFT intern team,The PowerPoint Guards,43,07/16/2024,5:30,,,0.0,0.0
Africa vs. WeStayBallin,Africa,WeStayBallin,43,07/17/2024,4:30,,,0.0,0.0
DART Team vs. breakfast table,DART Team,breakfast table,92,07/17/2024,4:30,,,0.0,0.0
The Retaliators vs MSFT intern team,The Retaliators,MSFT intern team,92,07/19/2024,4:30,,,0.0,0.0
Clipp'yers vs Seattle Sonics,Clipp'yers,Seattle Sonics,43,07/19/2024,4:30,,,0.0,0.0
Subject to change vs MSFT Hooperz,Subject to change,MSFT Hooperz,Redwest,07/19/2024,4:30,,,0.0,0.0
The Windows Warriors vs The PowerPoint Guards,The Windows Warriors,The PowerPoint Guards,43,07/19/2024,5:30,,,0.0,0.0
The Retaliators vs Seattle Sonics,Seattle Sonics,The Retaliators,Redwest,07/23/2024,4:30,,,0.0,0.0
Clipp'yers vs The PowerPoint Guards,The PowerPoint Guards,Clipp'yers,43,07/23/2024,4:30,,,0.0,0.0
Subject to change vs MSFT intern team,MSFT intern team,Subject to change,92,07/23/2024,4:30,,,0.0,0.0
The Windows Warriors vs MSFT Hooperz,MSFT Hooperz,The Windows Warriors,Redwest,07/23/2024,5:30,,,0.0,0.0
Bilal Coulibaly Fans vs. breakfast table,Bilal Coulibaly Fans,breakfast table,92,07/24/2024,4:30,,,0.0,0.0
DART Team vs. Africa,DART Team,Africa,Redwest,07/24/2024,4:30,,,0.0,0.0
The Retaliators vs MSFT Hooperz,MSFT Hooperz,The Retaliators,43,07/26/2024,4:30,,,0.0,0.0
Clipp'yers vs The Windows Warriors,The Windows Warriors,Clipp'yers,92,07/26/2024,4:30,,,0.0,0.0
Subject to change vs The PowerPoint Guards,The PowerPoint Guards,Subject to change,Redwest,07/26/2024,4:30,,,0.0,0.0
MSFT intern team vs Seattle Sonics,Seattle Sonics,MSFT intern team,Redwest,07/26/2024,5:30,,,0.0,0.0
DART Team vs WeStayBallin,DART Team,WeStayBallin,92,07/29/2024,4:30,,,0.0,0.0
Bilal Coulibaly Fans vs Africa,Bilal Coulibaly Fans,Africa,43,07/29/2024,4:30,,,0.0,0.0
The Retaliators vs The PowerPoint Guards,The PowerPoint Guards,The Retaliators,43,07/30/2024,4:30,,,0.0,0.0
Clipp'yers vs Subject to change,Subject to change,Clipp'yers,92,07/30/2024,4:30,,,0.0,0.0
The Windows Warriors vs MSFT intern team,MSFT intern team,The Windows Warriors,Redwest,07/30/2024,4:30,,,0.0,0.0
MSFT Hooperz vs Seattle Sonics,Seattle Sonics,MSFT Hooperz,Redwest,07/30/2024,5:30,,,0.0,0.0
Bilal Coulibaly Fans vs. Africa,Bilal Coulibaly Fans,Africa,92,07/31/2024,4:30,,,0.0,0.0
WeStayBallin vs. breakfast table,WeStayBallin,breakfast table,43,07/31/2024,4:30,,,0.0,0.0
